,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.853978157043457,49143.91171312332
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.5034375190734863
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.12977266312
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.60053491592
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.8978123664855957
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.4506688118
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.60713720322
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.127164363861084
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8183426857
11,2019-05-31,BUY,NVDA,38293,3.4572560787200928,66088.11132025719
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.341552495956421
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.461364507675
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.4068601131439209
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.590872526169
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.869404554367065
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28808.99821448326
18,2019-08-30,BUY,NVDA,377,4.15450382232666,27242.75027346611
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.76109766960144
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8771.97640156746
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.870293855667114
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.490468263626
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.64030957222
24,2019-10-31,BUY,NVDA,3061,5.05008602142334,269.3269979953766
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.543642282486
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.38373017311
27,2019-11-29,BUY,NVDA,5232,5.433223247528076,208.75969910621643
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.6896917819977
29,2019-12-31,SELL,NVDA,11902,5.78375244140625,70016.91124939919
30,2019-12-31,BUY,CSCO,1731,40.447731018066406,1.888857126235962
31,2019-01-03,SELL,NVDA,279088,3.3780901432037354,942786.3107435703
32,2019-01-03,SELL,NFLX,22,267.6600036621094,948674.8308241367
33,2019-01-03,SELL,CSCO,1731,35.50110626220703,1010127.2457640171
34,2019-01-31,BUY,NVDA,293472,3.407104730606079,10237.406263589859
35,2019-01-31,BUY,TSLA,497,20.584667205810547,6.826662302017212
36,2019-02-28,SELL,NVDA,12879,3.8539788722991943,49642.22055864334
37,2019-02-28,BUY,TSLA,2365,20.982667922973633,18.210920810699463
38,2019-03-06,SELL,TSLA,2862,18.43600082397461,52782.04527902603
39,2019-03-29,SELL,NVDA,25423,4.400113105773926,164646.12076711655
40,2019-03-29,BUY,TSLA,8864,18.57466697692871,0.27268362045288086
41,2019-04-26,SELL,TSLA,8864,16.5086669921875,146333.09690237045
42,2019-04-30,SELL,NVDA,18661,4.451749324798584,229407.19105243683
43,2019-04-30,BUY,TSLA,14250,16.097999572753906,10.69714069366455
44,2019-05-18,SELL,TSLA,14250,14.0686674118042,200489.2077589035
45,2019-05-31,BUY,NVDA,38682,3.4572553634643555,66755.6557893753
46,2019-05-31,BUY,TSLA,5319,12.54800033569336,12.84200382232666
47,2019-06-28,SELL,TSLA,3555,14.855999946594238,52825.921813964844
48,2019-06-28,BUY,NVDA,13021,4.056702136993408,3.603288173675537
49,2019-07-31,SELL,NVDA,963,4.360403537750244,4202.671895027161
50,2019-07-31,BUY,TSLA,260,16.150667190551758,3.4984254837036133
51,2019-08-16,SELL,TSLA,2024,14.37600040435791,29100.523243904114
52,2019-08-30,BUY,NVDA,381,4.154504776000977,27517.65692424774
53,2019-08-30,BUY,TSLA,1861,14.780667304992676,10.83506965637207
54,2019-09-30,SELL,NVDA,2069,4.272921562194824,8851.509781837463
55,2019-09-30,BUY,TSLA,548,16.142000198364258,5.693673133850098
56,2019-10-31,SELL,TSLA,938,21.000667572021484,19704.319855690002
57,2019-10-31,BUY,NFLX,14,291.45001220703125,15624.019684791565
58,2019-10-31,BUY,NVDA,3091,5.050086498260498,14.202318668365479
59,2019-11-29,SELL,TSLA,1470,22.086000442504883,32480.622969150543
60,2019-11-29,BUY,NFLX,11,315.92999267578125,29005.39304971695
61,2019-11-29,BUY,NVDA,5289,5.433223247528076,269.0752935409546
62,2019-12-31,SELL,NFLX,3,323.30999755859375,1239.0052862167358
63,2019-12-31,SELL,NVDA,12022,5.783752918243408,70771.28286933899
64,2019-12-31,SELL,TSLA,1,27.64666748046875,70798.92953681946
65,2019-12-31,BUY,CSCO,1750,40.44773864746094,15.386903762817383
